target_VA,VCO2,C_rs,R_aw,L_ETT,L_TRACH,dL_device,window_Cmax_low,window_Cmax_high,window_width,overlaps_observed_MIP
4.32,206,0.0563302752293578,10,7.00981861671314,6.26715780185265,0.742660814860495,17.6539656390215,19.7459679344032,2.09200229538168,0
4.32,206,0.056697247706422,10,6.99051498937688,6.24857231541431,0.741942673962567,17.6016121560967,19.6915915193715,2.08997936327484,0
4.32,206,0.0570642201834862,10,6.97145964020571,6.23022587060219,0.741233769603522,17.5499320298653,19.6379144794527,2.08798244958739,0
4.32,206,0.0574311926605505,10,6.95264780987379,6.21211388514869,0.740533924725104,17.4989123525315,19.5849234080952,2.08601105556367,0
4.32,206,0.0577981651376147,10,6.93407485992704,6.19423189316127,0.739842966765774,17.4485405441162,19.5326052392311,2.08406469511486,0
4.32,206,0.0581651376146789,10,6.91573626897015,6.17657554145129,0.739160727518867,17.3988043421163,19.4809472365356,2.08214289441934,0
4.32,206,0.0585321100917431,10,6.89762762899705,6.159140586001,0.738487042996057,17.3496917915521,19.4299369830903,2.08024519153819,0
4.32,206,0.0588990825688073,10,6.87974464185851,6.14192288856254,0.737821753295963,17.3011912353874,19.3795623714324,2.07837113604497,0
4.32,206,0.0592660550458716,10,6.86208311586099,6.12491841338339,0.737164702477603,17.2532913053053,19.3298115939746,2.0765202886693,0
4.32,206,0.0596330275229358,10,6.84463896249114,6.1081232240526,0.736515738438546,17.2059809128242,19.2806731337779,2.07469222095365,0
4.32,206,0.06,10,6.82740819326037,6.09153348046285,0.73587471279752,17.1592492407404,19.232135755663,2.07288651492259,0
6.47,308,0.02,10,17.2850101888737,15.9678791023509,1.31713108652283,44.9799411333828,48.6901695461232,3.71022841274038,1
6.47,308,0.0203669724770642,10,17.0798550337186,15.7683545778264,1.3115004558922,44.4179002192292,48.1122677006157,3.69436748138649,1
6.47,308,0.0207339449541284,10,16.8819620079494,15.5758928683293,1.30606913962018,43.875754558674,47.5548225576041,3.6790679989301,1
6.47,308,0.0211009174311927,10,16.6909522178592,15.3901254791625,1.30082673869675,43.3524661384859,47.0167668108711,3.66430067238521,1
6.47,308,0.0214678899082569,10,16.5064726770029,15.2107091118476,1.29576356515531,42.8470679206974,46.4971061324025,3.6500382117051,1
6.47,308,0.0218348623853211,10,16.3281941291165,15.0373235467953,1.29087058232115,42.3586578782967,45.9949130397648,3.63625516146804,1
6.47,308,0.0222018348623853,10,16.1558090869454,14.8696697359597,1.28613935098565,41.8863936224217,45.5093213716771,3.62292774925534,1
6.47,308,0.0225688073394495,10,15.9890300624058,14.707468081574,1.28156198083178,41.4294875537296,45.0395213025516,3.61003374882192,1
6.47,308,0.0229357798165138,10,15.8275879666515,14.5504568801287,1.27713108652284,40.9872024792357,44.5847548356381,3.59755235640236,1
6.47,308,0.023302752293578,10,15.6712306613147,14.3983909133745,1.27283974794016,40.5588476433085,44.1443117220132,3.58546407870467,1
6.47,308,0.0236697247706422,10,15.5197216445154,14.2510401703957,1.26868147411973,40.1437751278752,43.7175257591984,3.5737506313232,1
6.47,308,0.0240366972477064,10,15.3728388572368,14.1081886867445,1.2646501704923,39.7413765823787,43.3037714288359,3.56239484645719,1
6.47,308,0.0244036697247706,10,15.230373597395,13.9696334883158,1.26074010907923,39.3510802487769,42.9024608377325,3.55138058895557,1
6.47,308,0.0247706422018349,10,15.0921295304375,13.8351836290999,1.25694590133765,38.9723482509855,42.5130409308099,3.54069267982437,1
6.47,308,0.0251376146788991,10,14.9579217866028,13.7046593132187,1.25326247338415,38.6046741217428,42.134990948177,3.53031682643423,1
6.47,308,0.0255045871559633,10,14.8275761361159,13.5778910927586,1.24968504335737,38.2475805429819,41.767820101735,3.52023955875315,1
6.47,308,0.0258715596330275,10,14.700928234579,13.4547191338718,1.24620910070723,37.9006172785121,41.4110654495183,3.5104481710063,1
6.47,308,0.0262385321100917,10,14.5778229316865,13.3349925444643,1.24283038722214,37.5633592801812,41.0642899484126,3.50093066823139,1
6.47,308,0.026605504587156,10,14.4581136371496,13.2185687575233,1.23954487962629,37.2354049507699,40.727080668027,3.49167571725715,1
6.47,308,0.0269724770642202,10,14.3416617383824,13.1053129647848,1.23634877359767,36.9163745486895,40.399047150373,3.48267260168357,1
6.47,308,0.0273394495412844,10,14.2283360650855,12.9950975960123,1.23323846907317,36.6059087211615,40.0798199016494,3.47391118048781,1
