device,C_rs,R_aw_native,f_device,WOB_total_J_min,WOB_device_J_min,P_mus_mean,P_mus_peak,V_E
TRACH_8_0,0.04,1,0.167200114483806,5.66197688514658,0.946683183401173,6.84322354679534,11.1699598828487,7.973
TRACH_8_0,0.05,1,0.19739620725932,4.79585295252157,0.946683183401173,5.73586243568423,9.03465043014171,7.973
TRACH_8_0,0.06,1,0.224415626919656,4.21843699743824,0.946683183401173,4.99762169494349,7.67366069039916,7.973
TRACH_8_0,0.02,3,0.0879658106730038,10.7619446255124,0.946683183401173,13.1773291023509,22.3790174004219,7.973
TRACH_8_0,0.03,3,0.120215800705414,7.87486485009571,0.946683183401173,9.48612539864719,15.1913992819408,7.973
TRACH_8_0,0.04,3,0.147198779246532,6.43132496238738,0.946683183401173,7.64052354679534,11.7476418937708,7.973
TRACH_8_0,0.05,3,0.170107634627817,5.56520102976238,0.946683183401173,6.53316243568423,9.79768383806469,7.973
TRACH_8_0,0.06,3,0.189800316017444,4.98778507467905,0.946683183401173,5.79492169494349,8.57147349025951,7.973
TRACH_8_0,0.02,6,0.0794466117561558,11.9159667413736,0.946683183401173,14.3732791023509,23.0225544979328,7.973
TRACH_8_0,0.03,6,0.104850485665687,9.02888696595692,0.946683183401173,10.6820753986472,16.2032928253825,7.973
TRACH_8_0,0.04,6,0.1248042012627,7.58534707824859,0.946683183401173,8.83647354679534,13.0394722413455,7.973
TRACH_8_0,0.05,6,0.140891761277161,6.71922314562359,0.946683183401173,7.72911243568423,11.2699323919576,7.973
TRACH_8_0,0.06,6,0.154137561475273,6.14180719054026,0.946683183401173,6.99087169494349,10.1569124436957,7.973
TRACH_8_0,0.02,10,0.0703609737924244,13.4546628958552,0.946683183401173,15.9678791023509,24.3437875321091,7.973
TRACH_8_0,0.03,10,0.0895836988090695,10.5675831204385,0.946683183401173,12.2766753986472,17.9913062041255,7.973
TRACH_8_0,0.04,10,0.103756981335334,9.1240432327302,0.946683183401173,10.4310735467953,15.0903179746327,7.973
TRACH_8_0,0.05,10,0.11463943264608,8.2579193001052,0.946683183401173,9.32371243568423,13.4679894040133,7.973
TRACH_8_0,0.06,10,0.12325796121354,7.68050334502187,0.946683183401173,8.58547169494349,12.4424530390165,7.973
TRACH_8_0,0.02,15,0.0615607456379434,15.3780330889572,0.946683183401173,17.9611291023509,26.4669506882332,7.973
TRACH_8_0,0.03,15,0.0757895061840429,12.4909533135406,0.946683183401173,14.2699253986472,20.5703873597382,7.973
TRACH_8_0,0.04,15,0.0856927451621878,11.0474134258322,0.946683183401173,12.4243235467953,17.885383449021,7.973
